site,transformed_land,area_ha,Prop
KZN1,Transformed,67.85129093,0.862543831
KZN1,Natural,10.81287489,0.137456169
KZN2,Transformed,75.94982888,0.965375453
KZN2,Natural,2.72404735,0.034624547
KZN3,Transformed,18.7024508,0.237713842
KZN3,Natural,59.97387142,0.762286158
KZN4,Transformed,52.87576396,0.672310395
KZN4,Natural,25.77208139,0.327689605
KZN5,Transformed,49.05823698,0.623665985
KZN5,Natural,29.60283827,0.376334015
KZN6,Transformed,32.30693079,0.410699884
KZN6,Natural,46.35618084,0.589300116
KZN7,Transformed,70.57623391,0.897185258
KZN7,Natural,8.087824946,0.102814742
MP1,Transformed,72.16513158,0.916250563
MP1,Natural,6.596218711,0.083749437
MP2,Transformed,55.35220677,0.702830992
MP2,Natural,23.40386319,0.297169008
MP3,Transformed,0,0
MP3,Natural,78.77743546,1
MP4,Transformed,41.42641045,0.525841137
MP4,Natural,37.35481744,0.474158863
MP5,Transformed,76.50656821,0.971104075
MP5,Natural,2.276509883,0.028895925
MP6,Transformed,75.30452866,0.956410917
MP6,Natural,3.432055466,0.043589083
MP7,Transformed,62.95759011,0.799467067
MP7,Natural,15.79185773,0.200532933
