site,landuse,area_ha,Prop
KZN1,Grassland,6.981106258,0.088745697
KZN1,Low shrubland,0.9,0.011441042
KZN1,Plantation / Woodlots young,0.897679378,0.011411541
KZN1,Plantations / Woodlots mature,44.49621547,0.56564784
KZN1,Thicket /Dense bush,2.301768627,0.029260701
KZN1,Urban commercial,0.36,0.004576417
KZN1,Urban informal (dense trees / bush),0.421406403,0.005357031
KZN1,Urban informal (low veg / grass),0.684055777,0.008695901
KZN1,Urban township (bare),1.71,0.021737979
KZN1,Urban township (dense trees / bush),2.306580842,0.029321875
KZN1,Urban township (low veg / grass),16.70535306,0.212362934
KZN1,Urban township (open trees / bush),0.27,0.003432313
KZN1,Woodlan/Open bush,0.63,0.008008729
KZN2,Cultivated cane commercial - crop,5.58464478,0.070984742
KZN2,Cultivated comm fields (high),0.154829156,0.001967987
KZN2,Cultivated comm fields (med),7.389349632,0.093923803
KZN2,Grassland,1.584577949,0.020141094
KZN2,Plantation / Woodlots clearfelled,6.828604321,0.086796338
KZN2,Plantation / Woodlots young,6.421189718,0.081617813
KZN2,Plantations / Woodlots mature,49.57121127,0.630084771
KZN2,Thicket /Dense bush,0.454647902,0.005778893
KZN2,Woodlan/Open bush,0.6848215,0.00870456
KZN3,Cultivated cane commercial - crop,13.20170109,0.167797639
KZN3,Cultivated cane commercial - fallow,5.318232647,0.067596356
KZN3,Grassland,13.45469947,0.171013325
KZN3,Plantations / Woodlots mature,0.182517059,0.002319847
KZN3,Thicket /Dense bush,35.9874661,0.457411647
KZN3,Wetlands,10.53170585,0.133861187
KZN4,Grassland,16.54048409,0.210310709
KZN4,Plantation / Woodlots young,3.768422607,0.047915141
KZN4,Plantations / Woodlots mature,47.6621252,0.606019465
KZN4,Thicket /Dense bush,3.922392232,0.04987285
KZN4,Urban village (dense trees / bush),1.007027985,0.012804267
KZN4,Urban village (low veg / grass),0.438188173,0.005571522
KZN4,Wetlands,5.12920507,0.065217363
KZN4,Woodlan/Open bush,0.18,0.002288683
KZN5,Cultivated cane commercial - crop,10.66779413,0.135617192
KZN5,Cultivated comm fields (high),4.636801043,0.058946576
KZN5,Cultivated comm fields (low),2.247813164,0.028575927
KZN5,Cultivated comm fields (med),22.27542753,0.283182342
KZN5,Cultivated orchards (high),0.335704562,0.004267734
KZN5,Grassland,20.3050046,0.258132813
KZN5,Plantations / Woodlots mature,8.557953853,0.108795282
KZN5,Thicket /Dense bush,8.834235567,0.112307587
KZN5,Urban industrial,0.336742698,0.004280932
KZN5,Wetlands,0.373598102,0.004749466
KZN5,Woodlan/Open bush,0.09,0.001144149
KZN6,Grassland,37.71161642,0.479406619
KZN6,Thicket /Dense bush,6.027096977,0.076619102
KZN6,Urban smallholding (low veg / grass),0.09,0.00114412
KZN6,Urban village (dense trees / bush),1.894144361,0.024079194
KZN6,Urban village (low veg / grass),29.01304269,0.368826532
KZN6,Urban village (open trees / bush),1.309743748,0.016650037
KZN6,Woodlan/Open bush,2.61746745,0.033274395
KZN7,Grassland,4.322255566,0.054945748
KZN7,Plantation / Woodlots clearfelled,11.48871506,0.14604783
KZN7,Plantation / Woodlots young,4.021938992,0.051128038
KZN7,Plantations / Woodlots mature,51.88842673,0.659620511
KZN7,Thicket /Dense bush,2.792144007,0.035494533
KZN7,Urban township (dense trees / bush),1.28194117,0.016296403
KZN7,Urban township (low veg / grass),1.805211954,0.02294837
KZN7,Urban township (open trees / bush),0.09,0.001144106
KZN7,Wetlands,0.816210417,0.0103759
KZN7,Woodlan/Open bush,0.157214956,0.001998561
MP1,Grassland,4.508302715,0.057240038
MP1,Plantation / Woodlots young,11.15526289,0.141633718
MP1,Plantations / Woodlots mature,57.2714809,0.727152095
MP1,Urban built-up (low veg / grass),2.748387793,0.034895133
MP1,Urban built-up (open trees / bush),0.99,0.012569617
MP1,Woodlan/Open bush,2.087915996,0.026509398
MP2,Cultivated comm fields (low),2.263347544,0.028738706
MP2,Cultivated comm fields (med),15.01883924,0.19070072
MP2,Grassland,7.107785197,0.090250633
MP2,Plantation / Woodlots clearfelled,3.440424945,0.043684569
MP2,Plantation / Woodlots young,0.9,0.011427691
MP2,Plantations / Woodlots mature,33.72959504,0.428279307
MP2,Thicket /Dense bush,8.960939105,0.113780933
MP2,Woodlan/Open bush,7.335138889,0.093137442
MP3,Grassland,5.915037166,0.075085424
MP3,Thicket /Dense bush,62.56528283,0.794203092
MP3,Woodlan/Open bush,10.29711546,0.130711484
MP4,Grassland,7.07847702,0.089849793
MP4,Plantation / Woodlots clearfelled,2.944808391,0.03737957
MP4,Plantation / Woodlots young,2.709600418,0.034393986
MP4,Plantations / Woodlots mature,35.77200164,0.454067582
MP4,Thicket /Dense bush,20.54065056,0.260730267
MP4,Woodlan/Open bush,9.735689864,0.123578803
MP5,Grassland,0.33258846,0.004221572
MP5,Plantation / Woodlots clearfelled,4.125431101,0.052364432
MP5,Plantation / Woodlots young,0.452611368,0.005745033
MP5,Plantations / Woodlots mature,71.92852574,0.912994611
MP5,Woodlan/Open bush,1.943921423,0.024674352
MP6,Grassland,1.17,0.014859674
MP6,Plantation / Woodlots clearfelled,4.843587004,0.061516347
MP6,Plantation / Woodlots young,1.924228585,0.024438812
MP6,Plantations / Woodlots mature,68.53671307,0.870455759
MP6,Woodlan/Open bush,2.262055466,0.028729408
MP7,Cultivated orchards (high),1.863915351,0.023668932
MP7,Cultivated orchards (low),0.09,0.001142865
MP7,Cultivated orchards (med),0.252762121,0.0032097
MP7,Grassland,12.53426154,0.159166342
MP7,Plantation / Woodlots clearfelled,22.59862758,0.286968712
MP7,Plantation / Woodlots young,1.715687648,0.021786663
MP7,Plantations / Woodlots mature,34.67709565,0.440347159
MP7,Urban built-up (bare),0.09,0.001142865
MP7,Urban built-up (low veg / grass),1.44,0.018285842
MP7,Urban built-up (open trees / bush),0.229501761,0.002914329
MP7,Woodlan/Open bush,3.257596188,0.041366591
