site,transformed_land,area_ha,Prop
KZN1,Transformed,263.5776486,0.837557508
KZN1,Natural,51.12032254,0.162442492
KZN2,Transformed,282.3157352,0.896989863
KZN2,Natural,32.42108267,0.103010137
KZN3,Transformed,147.7892706,0.46955001
KZN3,Natural,166.9573325,0.53044999
KZN4,Transformed,186.641477,0.593204357
KZN4,Natural,127.9912037,0.406795643
KZN5,Transformed,180.206553,0.572655846
KZN5,Natural,134.4790546,0.427344154
KZN6,Transformed,90.67169272,0.288126763
KZN6,Natural,224.0220612,0.711873237
KZN7,Transformed,271.1887966,0.861744244
KZN7,Natural,43.50874661,0.138255756
MP1,Transformed,295.6254324,0.938235019
MP1,Natural,19.4613277,0.061764981
MP2,Transformed,159.850785,0.507357093
MP2,Natural,155.2148509,0.492642907
MP3,Natural,315.1511092,1
MP4,Transformed,139.723769,0.443333495
MP4,Natural,175.442512,0.556666505
MP5,Transformed,283.6380573,0.899942073
MP5,Natural,31.53562541,0.100057927
MP6,Transformed,293.9565423,0.933231865
MP6,Natural,21.03114019,0.066768135
MP7,Transformed,276.4471463,0.877500944
MP7,Natural,38.59199774,0.122499056
