site,landuse,area_ha,Prop
KZN1,Grassland,20.27087137,0.064413734
KZN1,Low shrubland,1.25423067,0.003985506
KZN1,Plantation / Woodlots clearfelled,0.013143532,4.18E-05
KZN1,Plantation / Woodlots young,6.317148559,0.020073687
KZN1,Plantations / Woodlots mature,160.961732,0.511480044
KZN1,Thicket /Dense bush,25.11715509,0.079813527
KZN1,Urban commercial,4.073067863,0.012942784
KZN1,Urban informal (dense trees / bush),3.919329535,0.012454257
KZN1,Urban informal (low veg / grass),6.6727237,0.02120358
KZN1,Urban informal (open trees / bush),0.18,0.000571977
KZN1,Urban residential (dense trees / bush),7.190555908,0.02284907
KZN1,Urban residential (low veg / grass),4.158930285,0.013215625
KZN1,Urban residential (open trees / bush),0.541152772,0.001719594
KZN1,Urban school and sports ground,1.84739998,0.00587039
KZN1,Urban township (bare),1.8,0.00571977
KZN1,Urban township (dense trees / bush),18.02335425,0.057271911
KZN1,Urban township (low veg / grass),46.07911022,0.146423283
KZN1,Urban township (open trees / bush),1.8,0.00571977
KZN1,Wetlands,3.578065411,0.011369839
KZN1,Woodlan/Open bush,0.9,0.002859885
KZN2,Cultivated cane commercial - crop,55.94159507,0.177740868
KZN2,Cultivated cane commercial - fallow,32.28594476,0.102580769
KZN2,Cultivated comm fields (high),0.54,0.001715719
KZN2,Cultivated comm fields (low),0.09,0.000285953
KZN2,Cultivated comm fields (med),7.65,0.024306022
KZN2,Grassland,12.76156965,0.040546796
KZN2,Low shrubland,0.09,0.000285953
KZN2,Plantation / Woodlots clearfelled,12.81060562,0.040702596
KZN2,Plantation / Woodlots young,10.68285856,0.033942195
KZN2,Plantations / Woodlots mature,126.9440622,0.403334008
KZN2,Thicket /Dense bush,14.69275894,0.046682682
KZN2,Urban industrial,0.006515055,2.07E-05
KZN2,Urban smallholding (dense trees / bush),19.32606889,0.061403903
KZN2,Urban smallholding (low veg / grass),14.68808511,0.046667833
KZN2,Urban smallholding (open trees / bush),0.45,0.001429766
KZN2,Urban township (low veg / grass),0.9,0.002859532
KZN2,Wetlands,2.810114936,0.00892846
KZN2,Woodlan/Open bush,2.066639144,0.006566245
KZN3,Cultivated cane commercial - crop,87.06889292,0.276631716
KZN3,Cultivated cane commercial - fallow,34.1756955,0.108581618
KZN3,Grassland,47.86519257,0.152075327
KZN3,Plantation / Woodlots clearfelled,1.170560519,0.003719057
KZN3,Plantation / Woodlots young,1.910466596,0.006069856
KZN3,Plantations / Woodlots mature,23.46365507,0.074547763
KZN3,Thicket /Dense bush,101.1791246,0.321462165
KZN3,Wetlands,16.56301535,0.052623333
KZN3,Woodlan/Open bush,1.35,0.004289165
KZN4,Bare none vegetated,0.040162978,0.00012765
KZN4,Cultivated comm fields (high),0.27,0.000858144
KZN4,Grassland,87.31707552,0.27752068
KZN4,Indigenous Forest,2.34523016,0.007453867
KZN4,Plantation / Woodlots clearfelled,6.185531051,0.019659531
KZN4,Plantation / Woodlots young,8.723917441,0.027727309
KZN4,Plantations / Woodlots mature,168.4219991,0.535297219
KZN4,Thicket /Dense bush,26.50770637,0.084249692
KZN4,Urban township (low veg / grass),0.700029378,0.00222491
KZN4,Urban village (dense trees / bush),1.71,0.005434909
KZN4,Urban village (low veg / grass),0.63,0.002002335
KZN4,Wetlands,10.07102871,0.032008845
KZN4,Woodlan/Open bush,1.71,0.005434909
KZN5,Bare none vegetated,0.45,0.001429999
KZN5,Cultivated cane commercial - crop,37.62893523,0.119576283
KZN5,Cultivated cane commercial - fallow,5.444103325,0.017300134
KZN5,Cultivated comm fields (high),15.59693096,0.049563534
KZN5,Cultivated comm fields (low),14.13,0.044901958
KZN5,Cultivated comm fields (med),65.22255032,0.207262578
KZN5,Cultivated orchards (high),8.19,0.026025976
KZN5,Grassland,85.43714437,0.271500006
KZN5,Plantation / Woodlots young,1.17,0.003717997
KZN5,Plantations / Woodlots mature,23.67976242,0.075248953
KZN5,Thicket /Dense bush,32.59407466,0.10357663
KZN5,Urban industrial,3.78,0.012011989
KZN5,Urban residential (dense trees / bush),2.574270744,0.008180453
KZN5,Urban residential (low veg / grass),0.09,0.000286
KZN5,Urban township (dense trees / bush),0.36,0.001143999
KZN5,Urban township (low veg / grass),2.34,0.007435993
KZN5,Wetlands,14.37783559,0.045689524
KZN5,Woodlan/Open bush,1.62,0.005147995
KZN6,Bare none vegetated,0.014489993,4.60E-05
KZN6,Grassland,179.3027138,0.569768899
KZN6,Thicket /Dense bush,37.02398491,0.117650841
KZN6,Urban smallholding (low veg / grass),0.09,0.000285992
KZN6,Urban village (dense trees / bush),5.254726558,0.016697905
KZN6,Urban village (low veg / grass),82.7548353,0.262969424
KZN6,Urban village (open trees / bush),2.572130867,0.008173441
KZN6,Water permanent,1.909592015,0.006068096
KZN6,Water seasonal,0.092177271,0.000292911
KZN6,Wetlands,0.371925547,0.001181865
KZN6,Woodlan/Open bush,5.307177684,0.016864579
KZN7,Grassland,22.05550172,0.07008476
KZN7,Indigenous Forest,0.09,0.000285989
KZN7,Low shrubland,0.81,0.0025739
KZN7,Plantation / Woodlots clearfelled,24.55992191,0.078042941
KZN7,Plantation / Woodlots young,8.125392538,0.025819689
KZN7,Plantations / Woodlots mature,164.7112984,0.523395565
KZN7,Thicket /Dense bush,15.4899489,0.049221703
KZN7,Urban commercial,1.219106921,0.0038739
KZN7,Urban informal (dense trees / bush),6.494327602,0.020636728
KZN7,Urban informal (low veg / grass),0.878115763,0.002790348
KZN7,Urban informal (open trees / bush),0.09,0.000285989
KZN7,Urban school and sports ground,1.8,0.005719778
KZN7,Urban sports and golf (dense tree / bush),0.09,0.000285989
KZN7,Urban sports and golf (low veg / grass),0.18,0.000571978
KZN7,Urban township (bare),0.407565675,0.001295103
KZN7,Urban township (dense trees / bush),28.33290808,0.090032187
KZN7,Urban township (low veg / grass),33.17603757,0.105421978
KZN7,Urban township (open trees / bush),1.124122168,0.003572072
KZN7,Wetlands,3.263295986,0.010369627
KZN7,Woodlan/Open bush,1.8,0.005719778
MP1,Grassland,13.08026686,0.041513223
MP1,Plantation / Woodlots clearfelled,6.483580968,0.020577129
