"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,11.429,10.221,12.636,0.258,0.213,0.303
"2",1,"interpolated",0,11.429,10.221,12.636,0.258,0.213,0.303
"3",1,"interpolated",0,11.429,10.221,12.636,0.258,0.213,0.303
"4",1,"interpolated",0,11.429,10.221,12.636,0.258,0.213,0.303
"5",1,"interpolated",0,11.429,10.221,12.636,0.258,0.213,0.303
"6",2,"interpolated",0,19.91,18.012,21.807,0.423,0.369,0.477
"7",2,"interpolated",0,19.91,18.012,21.807,0.423,0.369,0.477
"8",2,"interpolated",0,19.91,18.012,21.807,0.423,0.369,0.477
"9",2,"interpolated",0,19.91,18.012,21.807,0.423,0.369,0.477
"10",3,"interpolated",0,26.508,24.069,28.946,0.53,0.477,0.583
"11",3,"interpolated",0,26.508,24.069,28.946,0.53,0.477,0.583
"12",3,"interpolated",0,26.508,24.069,28.946,0.53,0.477,0.583
"13",3,"interpolated",0,26.508,24.069,28.946,0.53,0.477,0.583
"14",4,"interpolated",0,31.877,28.958,34.796,0.602,0.553,0.652
"15",4,"interpolated",0,31.877,28.958,34.796,0.602,0.553,0.652
"16",4,"interpolated",0,31.877,28.958,34.796,0.602,0.553,0.652
"17",4,"interpolated",0,31.877,28.958,34.796,0.602,0.553,0.652
"18",4,"interpolated",0,31.877,28.958,34.796,0.602,0.553,0.652
"19",5,"interpolated",0,36.42,33.06,39.781,0.653,0.607,0.7
"20",5,"interpolated",0,36.42,33.06,39.781,0.653,0.607,0.7
"21",5,"interpolated",0,36.42,33.06,39.781,0.653,0.607,0.7
"22",5,"interpolated",0,36.42,33.06,39.781,0.653,0.607,0.7
"23",6,"interpolated",0,40.383,36.613,44.153,0.691,0.647,0.734
"24",6,"interpolated",0,40.383,36.613,44.153,0.691,0.647,0.734
"25",6,"interpolated",0,40.383,36.613,44.153,0.691,0.647,0.734
"26",6,"interpolated",0,40.383,36.613,44.153,0.691,0.647,0.734
"27",7,"interpolated",0,43.92,39.768,48.072,0.719,0.678,0.761
"28",7,"interpolated",0,43.92,39.768,48.072,0.719,0.678,0.761
"29",7,"interpolated",0,43.92,39.768,48.072,0.719,0.678,0.761
"30",7,"interpolated",0,43.92,39.768,48.072,0.719,0.678,0.761
"31",7,"interpolated",0,43.92,39.768,48.072,0.719,0.678,0.761
"32",8,"interpolated",0,47.128,42.618,51.638,0.742,0.703,0.782
"33",8,"interpolated",0,47.128,42.618,51.638,0.742,0.703,0.782
"34",8,"interpolated",0,47.128,42.618,51.638,0.742,0.703,0.782
"35",8,"interpolated",0,47.128,42.618,51.638,0.742,0.703,0.782
"36",9,"interpolated",0,50.072,45.224,54.919,0.762,0.723,0.8
"37",9,"interpolated",0,50.072,45.224,54.919,0.762,0.723,0.8
"38",9,"interpolated",0,50.072,45.224,54.919,0.762,0.723,0.8
"39",9,"interpolated",0,50.072,45.224,54.919,0.762,0.723,0.8
"40",10,"interpolated",0,52.795,47.628,57.963,0.778,0.741,0.816
"41",1,"interpolated",1,11.429,10.207,12.65,0.258,0.213,0.303
"42",1,"interpolated",1,11.429,10.207,12.65,0.258,0.213,0.303
"43",1,"interpolated",1,11.429,10.207,12.65,0.258,0.213,0.303
"44",1,"interpolated",1,11.429,10.207,12.65,0.258,0.213,0.303
"45",1,"interpolated",1,11.429,10.207,12.65,0.258,0.213,0.303
"46",2,"interpolated",1,19.115,17.298,20.932,0.423,0.369,0.477
"47",2,"interpolated",1,19.115,17.298,20.932,0.423,0.369,0.477
"48",2,"interpolated",1,19.115,17.298,20.932,0.423,0.369,0.477
"49",2,"interpolated",1,19.115,17.298,20.932,0.423,0.369,0.477
"50",3,"interpolated",1,24.63,22.359,26.902,0.53,0.477,0.583
"51",3,"interpolated",1,24.63,22.359,26.902,0.53,0.477,0.583
"52",3,"interpolated",1,24.63,22.359,26.902,0.53,0.477,0.583
"53",3,"interpolated",1,24.63,22.359,26.902,0.53,0.477,0.583
"54",4,"interpolated",1,28.801,26.131,31.47,0.602,0.553,0.652
"55",4,"interpolated",1,28.801,26.131,31.47,0.602,0.553,0.652
"56",4,"interpolated",1,28.801,26.131,31.47,0.602,0.553,0.652
"57",4,"interpolated",1,28.801,26.131,31.47,0.602,0.553,0.652
"58",4,"interpolated",1,28.801,26.131,31.47,0.602,0.553,0.652
"59",5,"interpolated",1,32.088,29.063,35.113,0.653,0.607,0.699
"60",5,"interpolated",1,32.088,29.063,35.113,0.653,0.607,0.699
"61",5,"interpolated",1,32.088,29.063,35.113,0.653,0.607,0.699
"62",5,"interpolated",1,32.088,29.063,35.113,0.653,0.607,0.699
"63",6,"interpolated",1,34.765,31.424,38.106,0.691,0.647,0.734
"64",6,"interpolated",1,34.765,31.424,38.106,0.691,0.647,0.734
"65",6,"interpolated",1,34.765,31.424,38.106,0.691,0.647,0.734
"66",6,"interpolated",1,34.765,31.424,38.106,0.691,0.647,0.734
"67",7,"interpolated",1,37.001,33.379,40.624,0.719,0.678,0.76
"68",7,"interpolated",1,37.001,33.379,40.624,0.719,0.678,0.76
"69",7,"interpolated",1,37.001,33.379,40.624,0.719,0.678,0.76
"70",7,"interpolated",1,37.001,33.379,40.624,0.719,0.678,0.76
"71",7,"interpolated",1,37.001,33.379,40.624,0.719,0.678,0.76
"72",8,"interpolated",1,38.906,35.033,42.779,0.742,0.703,0.782
"73",8,"interpolated",1,38.906,35.033,42.779,0.742,0.703,0.782
"74",8,"interpolated",1,38.906,35.033,42.779,0.742,0.703,0.782
"75",8,"interpolated",1,38.906,35.033,42.779,0.742,0.703,0.782
"76",9,"interpolated",1,40.555,36.457,44.652,0.762,0.724,0.8
"77",9,"interpolated",1,40.555,36.457,44.652,0.762,0.724,0.8
"78",9,"interpolated",1,40.555,36.457,44.652,0.762,0.724,0.8
"79",9,"interpolated",1,40.555,36.457,44.652,0.762,0.724,0.8
"80",10,"interpolated",1,41.999,37.7,46.297,0.778,0.741,0.815
"81",1,"interpolated",2,11.429,10.2,12.658,0.258,0.212,0.303
"82",1,"interpolated",2,11.429,10.2,12.658,0.258,0.212,0.303
"83",1,"interpolated",2,11.429,10.2,12.658,0.258,0.212,0.303
"84",1,"interpolated",2,11.429,10.2,12.658,0.258,0.212,0.303
"85",1,"interpolated",2,11.429,10.2,12.658,0.258,0.212,0.303
"86",2,"interpolated",2,18.171,16.444,19.897,0.423,0.368,0.477
"87",2,"interpolated",2,18.171,16.444,19.897,0.423,0.368,0.477
"88",2,"interpolated",2,18.171,16.444,19.897,0.423,0.368,0.477
"89",2,"interpolated",2,18.171,16.444,19.897,0.423,0.368,0.477
"90",3,"interpolated",2,22.618,20.506,24.731,0.53,0.477,0.584
"91",3,"interpolated",2,22.618,20.506,24.731,0.53,0.477,0.584
"92",3,"interpolated",2,22.618,20.506,24.731,0.53,0.477,0.584
"93",3,"interpolated",2,22.618,20.506,24.731,0.53,0.477,0.584
"94",4,"interpolated",2,25.773,23.319,28.226,0.602,0.553,0.652
"95",4,"interpolated",2,25.773,23.319,28.226,0.602,0.553,0.652
"96",4,"interpolated",2,25.773,23.319,28.226,0.602,0.553,0.652
"97",4,"interpolated",2,25.773,23.319,28.226,0.602,0.553,0.652
"98",4,"interpolated",2,25.773,23.319,28.226,0.602,0.553,0.652
"99",5,"interpolated",2,28.126,25.373,30.879,0.653,0.607,0.7
