"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,13,11.39,14.61,0.59,0.514,0.666
"2",1,"interpolated",0,13,11.39,14.61,0.59,0.514,0.666
"3",1,"interpolated",0,13,11.39,14.61,0.59,0.514,0.666
"4",1,"interpolated",0,13,11.39,14.61,0.59,0.514,0.666
"5",1,"interpolated",0,13,11.39,14.61,0.59,0.514,0.666
"6",1,"interpolated",0,13,11.39,14.61,0.59,0.514,0.666
"7",1,"interpolated",0,13,11.39,14.61,0.59,0.514,0.666
"8",2,"interpolated",0,18.333,16.208,20.459,0.766,0.705,0.828
"9",2,"interpolated",0,18.333,16.208,20.459,0.766,0.705,0.828
"10",2,"interpolated",0,18.333,16.208,20.459,0.766,0.705,0.828
"11",2,"interpolated",0,18.333,16.208,20.459,0.766,0.705,0.828
"12",2,"interpolated",0,18.333,16.208,20.459,0.766,0.705,0.828
"13",2,"interpolated",0,18.333,16.208,20.459,0.766,0.705,0.828
"14",3,"interpolated",0,21.371,18.764,23.979,0.835,0.783,0.888
"15",3,"interpolated",0,21.371,18.764,23.979,0.835,0.783,0.888
"16",3,"interpolated",0,21.371,18.764,23.979,0.835,0.783,0.888
"17",3,"interpolated",0,21.371,18.764,23.979,0.835,0.783,0.888
"18",3,"interpolated",0,21.371,18.764,23.979,0.835,0.783,0.888
"19",3,"interpolated",0,21.371,18.764,23.979,0.835,0.783,0.888
"20",3,"interpolated",0,21.371,18.764,23.979,0.835,0.783,0.888
"21",4,"interpolated",0,23.514,20.464,26.565,0.867,0.819,0.916
"22",4,"interpolated",0,23.514,20.464,26.565,0.867,0.819,0.916
"23",4,"interpolated",0,23.514,20.464,26.565,0.867,0.819,0.916
"24",4,"interpolated",0,23.514,20.464,26.565,0.867,0.819,0.916
"25",4,"interpolated",0,23.514,20.464,26.565,0.867,0.819,0.916
"26",4,"interpolated",0,23.514,20.464,26.565,0.867,0.819,0.916
"27",5,"interpolated",0,25.238,21.778,28.698,0.886,0.839,0.934
"28",5,"interpolated",0,25.238,21.778,28.698,0.886,0.839,0.934
"29",5,"interpolated",0,25.238,21.778,28.698,0.886,0.839,0.934
"30",5,"interpolated",0,25.238,21.778,28.698,0.886,0.839,0.934
"31",5,"interpolated",0,25.238,21.778,28.698,0.886,0.839,0.934
"32",5,"interpolated",0,25.238,21.778,28.698,0.886,0.839,0.934
"33",5,"interpolated",0,25.238,21.778,28.698,0.886,0.839,0.934
"34",6,"interpolated",0,26.714,22.865,30.564,0.901,0.852,0.95
"35",6,"interpolated",0,26.714,22.865,30.564,0.901,0.852,0.95
"36",6,"interpolated",0,26.714,22.865,30.564,0.901,0.852,0.95
"37",6,"interpolated",0,26.714,22.865,30.564,0.901,0.852,0.95
"38",6,"interpolated",0,26.714,22.865,30.564,0.901,0.852,0.95
"39",6,"interpolated",0,26.714,22.865,30.564,0.901,0.852,0.95
"40",7,"observed",0,28,23.763,32.237,0.914,0.863,0.965
"41",1,"interpolated",1,13,11.416,14.584,0.59,0.514,0.666
"42",1,"interpolated",1,13,11.416,14.584,0.59,0.514,0.666
"43",1,"interpolated",1,13,11.416,14.584,0.59,0.514,0.666
"44",1,"interpolated",1,13,11.416,14.584,0.59,0.514,0.666
"45",1,"interpolated",1,13,11.416,14.584,0.59,0.514,0.666
"46",1,"interpolated",1,13,11.416,14.584,0.59,0.514,0.666
"47",1,"interpolated",1,13,11.416,14.584,0.59,0.514,0.666
"48",2,"interpolated",1,17.276,15.319,19.233,0.766,0.705,0.828
"49",2,"interpolated",1,17.276,15.319,19.233,0.766,0.705,0.828
"50",2,"interpolated",1,17.276,15.319,19.233,0.766,0.705,0.828
"51",2,"interpolated",1,17.276,15.319,19.233,0.766,0.705,0.828
"52",2,"interpolated",1,17.276,15.319,19.233,0.766,0.705,0.828
"53",2,"interpolated",1,17.276,15.319,19.233,0.766,0.705,0.828
"54",3,"interpolated",1,19.392,17.118,21.667,0.835,0.783,0.887
"55",3,"interpolated",1,19.392,17.118,21.667,0.835,0.783,0.887
"56",3,"interpolated",1,19.392,17.118,21.667,0.835,0.783,0.887
"57",3,"interpolated",1,19.392,17.118,21.667,0.835,0.783,0.887
"58",3,"interpolated",1,19.392,17.118,21.667,0.835,0.783,0.887
"59",3,"interpolated",1,19.392,17.118,21.667,0.835,0.783,0.887
"60",3,"interpolated",1,19.392,17.118,21.667,0.835,0.783,0.887
"61",4,"interpolated",1,20.689,18.171,23.207,0.867,0.82,0.915
"62",4,"interpolated",1,20.689,18.171,23.207,0.867,0.82,0.915
"63",4,"interpolated",1,20.689,18.171,23.207,0.867,0.82,0.915
"64",4,"interpolated",1,20.689,18.171,23.207,0.867,0.82,0.915
"65",4,"interpolated",1,20.689,18.171,23.207,0.867,0.82,0.915
"66",4,"interpolated",1,20.689,18.171,23.207,0.867,0.82,0.915
"67",5,"interpolated",1,21.589,18.886,24.293,0.886,0.84,0.933
"68",5,"interpolated",1,21.589,18.886,24.293,0.886,0.84,0.933
"69",5,"interpolated",1,21.589,18.886,24.293,0.886,0.84,0.933
"70",5,"interpolated",1,21.589,18.886,24.293,0.886,0.84,0.933
"71",5,"interpolated",1,21.589,18.886,24.293,0.886,0.84,0.933
"72",5,"interpolated",1,21.589,18.886,24.293,0.886,0.84,0.933
"73",5,"interpolated",1,21.589,18.886,24.293,0.886,0.84,0.933
"74",6,"interpolated",1,22.263,19.414,25.111,0.901,0.852,0.95
"75",6,"interpolated",1,22.263,19.414,25.111,0.901,0.852,0.95
"76",6,"interpolated",1,22.263,19.414,25.111,0.901,0.852,0.95
"77",6,"interpolated",1,22.263,19.414,25.111,0.901,0.852,0.95
"78",6,"interpolated",1,22.263,19.414,25.111,0.901,0.852,0.95
"79",6,"interpolated",1,22.263,19.414,25.111,0.901,0.852,0.95
"80",7,"observed",1,22.788,19.824,25.752,0.914,0.863,0.965
"81",1,"interpolated",2,13,11.385,14.615,0.59,0.514,0.665
"82",1,"interpolated",2,13,11.385,14.615,0.59,0.514,0.665
"83",1,"interpolated",2,13,11.385,14.615,0.59,0.514,0.665
"84",1,"interpolated",2,13,11.385,14.615,0.59,0.514,0.665
"85",1,"interpolated",2,13,11.385,14.615,0.59,0.514,0.665
"86",1,"interpolated",2,13,11.385,14.615,0.59,0.514,0.665
"87",1,"interpolated",2,13,11.385,14.615,0.59,0.514,0.665
"88",2,"interpolated",2,16.355,14.46,18.25,0.766,0.705,0.828
"89",2,"interpolated",2,16.355,14.46,18.25,0.766,0.705,0.828
"90",2,"interpolated",2,16.355,14.46,18.25,0.766,0.705,0.828
"91",2,"interpolated",2,16.355,14.46,18.25,0.766,0.705,0.828
"92",2,"interpolated",2,16.355,14.46,18.25,0.766,0.705,0.828
"93",2,"interpolated",2,16.355,14.46,18.25,0.766,0.705,0.828
"94",3,"interpolated",2,17.894,15.789,19.999,0.835,0.783,0.888
"95",3,"interpolated",2,17.894,15.789,19.999,0.835,0.783,0.888
"96",3,"interpolated",2,17.894,15.789,19.999,0.835,0.783,0.888
"97",3,"interpolated",2,17.894,15.789,19.999,0.835,0.783,0.888
"98",3,"interpolated",2,17.894,15.789,19.999,0.835,0.783,0.888
"99",3,"interpolated",2,17.894,15.789,19.999,0.835,0.783,0.888
"100",3,"interpolated",2,17.894,15.789,19.999,0.835,0.783,0.888
"101",4,"interpolated",2,18.778,16.525,21.031,0.867,0.819,0.916
"102",4,"interpolated",2,18.778,16.525,21.031,0.867,0.819,0.916
"103",4,"interpolated",2,18.778,16.525,21.031,0.867,0.819,0.916
"104",4,"interpolated",2,18.778,16.525,21.031,0.867,0.819,0.916
"105",4,"interpolated",2,18.778,16.525,21.031,0.867,0.819,0.916
"106",4,"interpolated",2,18.778,16.525,21.031,0.867,0.819,0.916
"107",5,"interpolated",2,19.351,16.991,21.711,0.886,0.838,0.935
"108",5,"interpolated",2,19.351,16.991,21.711,0.886,0.838,0.935
"109",5,"interpolated",2,19.351,16.991,21.711,0.886,0.838,0.935
"110",5,"interpolated",2,19.351,16.991,21.711,0.886,0.838,0.935
"111",5,"interpolated",2,19.351,16.991,21.711,0.886,0.838,0.935
"112",5,"interpolated",2,19.351,16.991,21.711,0.886,0.838,0.935
"113",5,"interpolated",2,19.351,16.991,21.711,0.886,0.838,0.935
"114",6,"interpolated",2,19.753,17.313,22.193,0.901,0.85,0.952
"115",6,"interpolated",2,19.753,17.313,22.193,0.901,0.85,0.952
"116",6,"interpolated",2,19.753,17.313,22.193,0.901,0.85,0.952
"117",6,"interpolated",2,19.753,17.313,22.193,0.901,0.85,0.952
"118",6,"interpolated",2,19.753,17.313,22.193,0.901,0.85,0.952
"119",6,"interpolated",2,19.753,17.313,22.193,0.901,0.85,0.952
"120",7,"observed",2,20.051,17.549,22.553,0.914,0.862,0.966
