"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,6.35,5.383,7.317,0.216,0.16,0.273
"2",1,"interpolated",0,6.35,5.383,7.317,0.216,0.16,0.273
"3",1,"interpolated",0,6.35,5.383,7.317,0.216,0.16,0.273
"4",1,"interpolated",0,6.35,5.383,7.317,0.216,0.16,0.273
"5",1,"interpolated",0,6.35,5.383,7.317,0.216,0.16,0.273
"6",2,"interpolated",0,11.326,9.719,12.934,0.353,0.284,0.421
"7",2,"interpolated",0,11.326,9.719,12.934,0.353,0.284,0.421
"8",2,"interpolated",0,11.326,9.719,12.934,0.353,0.284,0.421
"9",2,"interpolated",0,11.326,9.719,12.934,0.353,0.284,0.421
"10",3,"interpolated",0,15.435,13.315,17.556,0.449,0.376,0.521
"11",3,"interpolated",0,15.435,13.315,17.556,0.449,0.376,0.521
"12",3,"interpolated",0,15.435,13.315,17.556,0.449,0.376,0.521
"13",3,"interpolated",0,15.435,13.315,17.556,0.449,0.376,0.521
"14",4,"interpolated",0,18.937,16.372,21.502,0.52,0.447,0.593
"15",4,"interpolated",0,18.937,16.372,21.502,0.52,0.447,0.593
"16",4,"interpolated",0,18.937,16.372,21.502,0.52,0.447,0.593
"17",4,"interpolated",0,18.937,16.372,21.502,0.52,0.447,0.593
"18",4,"interpolated",0,18.937,16.372,21.502,0.52,0.447,0.593
"19",5,"interpolated",0,21.984,19.014,24.954,0.576,0.504,0.648
"20",5,"interpolated",0,21.984,19.014,24.954,0.576,0.504,0.648
"21",5,"interpolated",0,21.984,19.014,24.954,0.576,0.504,0.648
"22",5,"interpolated",0,21.984,19.014,24.954,0.576,0.504,0.648
"23",6,"interpolated",0,24.676,21.329,28.024,0.62,0.55,0.69
"24",6,"interpolated",0,24.676,21.329,28.024,0.62,0.55,0.69
"25",6,"interpolated",0,24.676,21.329,28.024,0.62,0.55,0.69
"26",6,"interpolated",0,24.676,21.329,28.024,0.62,0.55,0.69
"27",7,"interpolated",0,27.087,23.38,30.794,0.656,0.588,0.724
"28",7,"interpolated",0,27.087,23.38,30.794,0.656,0.588,0.724
"29",7,"interpolated",0,27.087,23.38,30.794,0.656,0.588,0.724
"30",7,"interpolated",0,27.087,23.38,30.794,0.656,0.588,0.724
"31",7,"interpolated",0,27.087,23.38,30.794,0.656,0.588,0.724
"32",8,"interpolated",0,29.272,25.222,33.322,0.685,0.619,0.751
"33",8,"interpolated",0,29.272,25.222,33.322,0.685,0.619,0.751
"34",8,"interpolated",0,29.272,25.222,33.322,0.685,0.619,0.751
"35",8,"interpolated",0,29.272,25.222,33.322,0.685,0.619,0.751
"36",9,"interpolated",0,31.273,26.892,35.653,0.709,0.645,0.772
"37",9,"interpolated",0,31.273,26.892,35.653,0.709,0.645,0.772
"38",9,"interpolated",0,31.273,26.892,35.653,0.709,0.645,0.772
"39",9,"interpolated",0,31.273,26.892,35.653,0.709,0.645,0.772
"40",10,"interpolated",0,33.123,28.423,37.823,0.728,0.666,0.791
"41",1,"interpolated",1,6.35,5.395,7.305,0.216,0.16,0.273
"42",1,"interpolated",1,6.35,5.395,7.305,0.216,0.16,0.273
"43",1,"interpolated",1,6.35,5.395,7.305,0.216,0.16,0.273
"44",1,"interpolated",1,6.35,5.395,7.305,0.216,0.16,0.273
"45",1,"interpolated",1,6.35,5.395,7.305,0.216,0.16,0.273
"46",2,"interpolated",1,10.932,9.417,12.446,0.353,0.284,0.422
"47",2,"interpolated",1,10.932,9.417,12.446,0.353,0.284,0.422
"48",2,"interpolated",1,10.932,9.417,12.446,0.353,0.284,0.422
"49",2,"interpolated",1,10.932,9.417,12.446,0.353,0.284,0.422
"50",3,"interpolated",1,14.441,12.488,16.395,0.449,0.376,0.522
"51",3,"interpolated",1,14.441,12.488,16.395,0.449,0.376,0.522
"52",3,"interpolated",1,14.441,12.488,16.395,0.449,0.376,0.522
"53",3,"interpolated",1,14.441,12.488,16.395,0.449,0.376,0.522
"54",4,"interpolated",1,17.238,14.903,19.574,0.52,0.446,0.594
"55",4,"interpolated",1,17.238,14.903,19.574,0.52,0.446,0.594
"56",4,"interpolated",1,17.238,14.903,19.574,0.52,0.446,0.594
"57",4,"interpolated",1,17.238,14.903,19.574,0.52,0.446,0.594
"58",4,"interpolated",1,17.238,14.903,19.574,0.52,0.446,0.594
"59",5,"interpolated",1,19.53,16.852,22.207,0.576,0.503,0.649
"60",5,"interpolated",1,19.53,16.852,22.207,0.576,0.503,0.649
"61",5,"interpolated",1,19.53,16.852,22.207,0.576,0.503,0.649
"62",5,"interpolated",1,19.53,16.852,22.207,0.576,0.503,0.649
"63",6,"interpolated",1,21.447,18.458,24.435,0.62,0.55,0.691
"64",6,"interpolated",1,21.447,18.458,24.435,0.62,0.55,0.691
"65",6,"interpolated",1,21.447,18.458,24.435,0.62,0.55,0.691
"66",6,"interpolated",1,21.447,18.458,24.435,0.62,0.55,0.691
"67",7,"interpolated",1,23.079,19.806,26.351,0.656,0.588,0.724
"68",7,"interpolated",1,23.079,19.806,26.351,0.656,0.588,0.724
"69",7,"interpolated",1,23.079,19.806,26.351,0.656,0.588,0.724
"70",7,"interpolated",1,23.079,19.806,26.351,0.656,0.588,0.724
"71",7,"interpolated",1,23.079,19.806,26.351,0.656,0.588,0.724
"72",8,"interpolated",1,24.488,20.955,28.021,0.685,0.619,0.751
"73",8,"interpolated",1,24.488,20.955,28.021,0.685,0.619,0.751
"74",8,"interpolated",1,24.488,20.955,28.021,0.685,0.619,0.751
"75",8,"interpolated",1,24.488,20.955,28.021,0.685,0.619,0.751
"76",9,"interpolated",1,25.721,21.949,29.494,0.709,0.644,0.773
"77",9,"interpolated",1,25.721,21.949,29.494,0.709,0.644,0.773
"78",9,"interpolated",1,25.721,21.949,29.494,0.709,0.644,0.773
