"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,12.381,11.09,13.672,0.258,0.216,0.301
"2",1,"interpolated",0,12.381,11.09,13.672,0.258,0.216,0.301
"3",1,"interpolated",0,12.381,11.09,13.672,0.258,0.216,0.301
"4",1,"interpolated",0,12.381,11.09,13.672,0.258,0.216,0.301
"5",1,"interpolated",0,12.381,11.09,13.672,0.258,0.216,0.301
"6",2,"interpolated",0,21.562,19.469,23.655,0.407,0.359,0.455
"7",2,"interpolated",0,21.562,19.469,23.655,0.407,0.359,0.455
"8",2,"interpolated",0,21.562,19.469,23.655,0.407,0.359,0.455
"9",2,"interpolated",0,21.562,19.469,23.655,0.407,0.359,0.455
"10",3,"interpolated",0,28.908,26.17,31.645,0.501,0.453,0.549
"11",3,"interpolated",0,28.908,26.17,31.645,0.501,0.453,0.549
"12",3,"interpolated",0,28.908,26.17,31.645,0.501,0.453,0.549
"13",3,"interpolated",0,28.908,26.17,31.645,0.501,0.453,0.549
"14",4,"interpolated",0,35.086,31.791,38.382,0.566,0.52,0.613
"15",4,"interpolated",0,35.086,31.791,38.382,0.566,0.52,0.613
"16",4,"interpolated",0,35.086,31.791,38.382,0.566,0.52,0.613
"17",4,"interpolated",0,35.086,31.791,38.382,0.566,0.52,0.613
"18",4,"interpolated",0,35.086,31.791,38.382,0.566,0.52,0.613
"19",5,"interpolated",0,40.454,36.659,44.249,0.615,0.571,0.66
"20",5,"interpolated",0,40.454,36.659,44.249,0.615,0.571,0.66
"21",5,"interpolated",0,40.454,36.659,44.249,0.615,0.571,0.66
"22",5,"interpolated",0,40.454,36.659,44.249,0.615,0.571,0.66
"23",6,"interpolated",0,45.218,40.965,49.47,0.653,0.61,0.696
"24",6,"interpolated",0,45.218,40.965,49.47,0.653,0.61,0.696
"25",6,"interpolated",0,45.218,40.965,49.47,0.653,0.61,0.696
"26",6,"interpolated",0,45.218,40.965,49.47,0.653,0.61,0.696
"27",7,"interpolated",0,49.511,44.832,54.189,0.684,0.642,0.726
"28",7,"interpolated",0,49.511,44.832,54.189,0.684,0.642,0.726
"29",7,"interpolated",0,49.511,44.832,54.189,0.684,0.642,0.726
"30",7,"interpolated",0,49.511,44.832,54.189,0.684,0.642,0.726
"31",7,"interpolated",0,49.511,44.832,54.189,0.684,0.642,0.726
"32",8,"interpolated",0,53.424,48.345,58.503,0.709,0.669,0.75
"33",8,"interpolated",0,53.424,48.345,58.503,0.709,0.669,0.75
