"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,23,19.601,26.399,0.384,0.309,0.459
"2",1,"interpolated",0,23,19.601,26.399,0.384,0.309,0.459
"3",1,"interpolated",0,23,19.601,26.399,0.384,0.309,0.459
"4",1,"interpolated",0,23,19.601,26.399,0.384,0.309,0.459
"5",1,"interpolated",0,23,19.601,26.399,0.384,0.309,0.459
"6",1,"interpolated",0,23,19.601,26.399,0.384,0.309,0.459
"7",1,"interpolated",0,23,19.601,26.399,0.384,0.309,0.459
"8",1,"interpolated",0,23,19.601,26.399,0.384,0.309,0.459
"9",1,"interpolated",0,23,19.601,26.399,0.384,0.309,0.459
"10",2,"interpolated",0,37.167,31.869,42.464,0.529,0.446,0.612
"11",2,"interpolated",0,37.167,31.869,42.464,0.529,0.446,0.612
"12",2,"interpolated",0,37.167,31.869,42.464,0.529,0.446,0.612
"13",2,"interpolated",0,37.167,31.869,42.464,0.529,0.446,0.612
"14",2,"interpolated",0,37.167,31.869,42.464,0.529,0.446,0.612
"15",2,"interpolated",0,37.167,31.869,42.464,0.529,0.446,0.612
"16",2,"interpolated",0,37.167,31.869,42.464,0.529,0.446,0.612
"17",2,"interpolated",0,37.167,31.869,42.464,0.529,0.446,0.612
"18",2,"interpolated",0,37.167,31.869,42.464,0.529,0.446,0.612
"19",3,"interpolated",0,48,41.109,54.891,0.609,0.517,0.7
"20",4,"observed",0,57,48.609,65.391,0.675,0.574,0.776
"21",5,"extrapolated",0,64.477,54.517,74.437,0.73,0.625,0.835
"22",5,"extrapolated",0,64.477,54.517,74.437,0.73,0.625,0.835
"23",5,"extrapolated",0,64.477,54.517,74.437,0.73,0.625,0.835
"24",5,"extrapolated",0,64.477,54.517,74.437,0.73,0.625,0.835
"25",5,"extrapolated",0,64.477,54.517,74.437,0.73,0.625,0.835
"26",5,"extrapolated",0,64.477,54.517,74.437,0.73,0.625,0.835
"27",5,"extrapolated",0,64.477,54.517,74.437,0.73,0.625,0.835
"28",5,"extrapolated",0,64.477,54.517,74.437,0.73,0.625,0.835
"29",5,"extrapolated",0,64.477,54.517,74.437,0.73,0.625,0.835
"30",5,"extrapolated",0,64.477,54.517,74.437,0.73,0.625,0.835
"31",6,"extrapolated",0,70.689,59.047,82.33,0.776,0.671,0.88
"32",6,"extrapolated",0,70.689,59.047,82.33,0.776,0.671,0.88
"33",6,"extrapolated",0,70.689,59.047,82.33,0.776,0.671,0.88
"34",6,"extrapolated",0,70.689,59.047,82.33,0.776,0.671,0.88
"35",6,"extrapolated",0,70.689,59.047,82.33,0.776,0.671,0.88
"36",6,"extrapolated",0,70.689,59.047,82.33,0.776,0.671,0.88
