"","Frequency","Percent"
"0",66,16.4179104477612
"1",152,37.8109452736318
"2",63,15.6716417910448
"3",29,7.21393034825871
"4",23,5.72139303482587
"5",10,2.48756218905473
"6",12,2.98507462686567
"7",5,1.24378109452736
"8",6,1.49253731343284
"9",4,0.995024875621891
"10",8,1.99004975124378
"11",7,1.74129353233831
"12",7,1.74129353233831
"13",2,0.497512437810945
"14",8,1.99004975124378
"Total",402,100
