"","Family","MorphousSp","MorphousSpKZN","MorphousSpMP","Commonness","Abundance","KZN1","KZN2","KZN3","KZN4","KZN5","KZN6","KZN7","MP1","MP2","MP3","MP4","MP5","MP6","MP7"
"Mordellidae_Mordellidae_sp3","Mordellidae",1,1,1,12,196,0,2,73,39,3,33,0,1,4,16,12,4,8,1
"Mordellidae_Mordellidae_sp4","Mordellidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Mordellidae_Mordellidae_sp5","Mordellidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Mordellidae_Mordellidae_sp6","Mordellidae",1,1,1,3,12,0,0,0,1,0,10,0,0,0,0,1,0,0,0
"Carabidae_Lebiinae_Coptoptera_apicalis_P_r","Carabidae",1,1,1,6,12,0,3,5,1,0,0,0,0,1,1,1,0,0,0
"Carabidae_Lebiinae_sp1","Carabidae",1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Carabidae_Lebiinae_sp2","Carabidae",1,1,0,2,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0
"Carabidae_Lebiinae_sp3","Carabidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Carabidae_Lebiinae_Calleida_Callidiola_insuelta","Carabidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Carabidae_Lebiinae_Polyaulacus_brunneus","Carabidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carabidae_Lebiinae_Lebia_sp1","Carabidae",1,0,1,4,9,0,0,0,0,0,0,0,0,3,0,4,1,1,0
"Carabidae_Lebiinae_Peliocypadina","Carabidae",1,1,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Carabidae_Lebiinae_Metaxymorphus","Carabidae",1,0,1,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Carabidae_Harpalinae_sp1","Carabidae",1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Carabidae_Trechinae_sp1","Carabidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zopheridae_Colydiinae_Synchitini_sp1","Zopheridae",1,1,0,2,7,0,0,0,0,0,6,1,0,0,0,0,0,0,0
"Zopheridae_Colydiinae_Synchitini_Sassaka_marshalli","Zopheridae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Zopheridae_Colydiinae_Synchitin_Xyloluemus_africanus","Zopheridae",1,1,1,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0,6
"Anthicidae_Formicomini_Anthelephia_Formicomus_rubricollis","Anthicidae",1,1,0,3,14,4,0,0,0,7,0,3,0,0,0,0,0,0,0
"Anthicidae_Microhorini_Anthicus_Aulacorderus_erratus","Anthicidae",1,1,1,3,6,0,3,0,0,0,0,0,0,2,0,0,0,1,0
"Anthicidae_Notoxinae_Notoxus","Anthicidae",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthicidae_Anthicidae_sp1","Anthicidae",1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Scydmaenidae_Scydmaenidae_sp1","Scydmaenidae",1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Scydmaenidae_Scydmaenidae_sp2","Scydmaenidae",1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Scydmaenidae_Scydmaenidae_sp3","Scydmaenidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corylophidae_Corylophidae_sp1_","Corylophidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corylophidae_Corylophidae_sp2_","Corylophidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corylophidae_Corylophidae_sp3_","Corylophidae",1,1,1,7,14,1,0,0,5,1,0,0,2,1,2,2,0,0,0
"Corylophidae_Corylophidae_sp4","Corylophidae",1,1,1,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"Corylophidae_Corylophidae__sp5","Corylophidae",1,1,1,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Laemophloeidae_Laemophloeidae_spp_1","Laemophloeidae",1,1,1,11,158,0,2,1,0,0,1,2,1,9,1,10,125,1,5
"Phalacridae_Phalacridae_sp1","Phalacridae",1,1,1,10,140,0,2,1,18,12,4,0,6,10,0,9,5,73,0
"Phalacridae_Phalacridae_sp2","Phalacridae",1,1,1,3,4,0,0,0,0,1,0,0,0,0,1,2,0,0,0
"Phalacridae_Phalacridae_sp3","Phalacridae",1,1,1,11,42,0,4,1,2,3,9,1,11,3,1,2,5,0,0
"Ptiliidae_Ptiliidae_spp","Ptiliidae",1,1,1,6,18,1,0,11,0,1,3,0,1,0,1,0,0,0,0
"Coccinellidae_Rodalia_icerydae","Coccinellidae",1,1,1,10,32,2,3,0,6,5,0,8,1,4,0,1,1,1,0
"Coccinellidae_Micraspis_striata","Coccinellidae",1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Coccinellidae_Lotis_ovata","Coccinellidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Coccinellidae_Rhyzobius_burmeisteri","Coccinellidae",1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Coccinellidae_Scymnus_nubilus","Coccinellidae",1,1,1,11,113,0,1,1,2,31,7,5,35,12,8,4,0,7,0
"Coccinellidae_Scymnus_capicola","Coccinellidae",1,1,1,12,93,2,7,0,1,21,4,9,26,3,2,4,12,2,0
"Coccinellidae_Scymnus_sp1","Coccinellidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Coccinellidae_Hyperaspis_capeneri_Mader","Coccinellidae",1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Coccinellidae_Lotis_nigritulus","Coccinellidae",1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Coccinellidae_Harmonia_axyridis","Coccinellidae",1,1,1,12,84,0,2,0,2,2,1,1,25,2,3,2,5,26,13
"Coccinellidae_Coccinellidae_sp1","Coccinellidae",1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Coccinellidae_Coccinellidae_sp2","Coccinellidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coccinellidae_Coccinellidae_sp3","Coccinellidae",1,1,0,3,13,0,0,0,0,10,2,1,0,0,0,0,0,0,0
"Coccinellidae_Coccinellidae_sp4_","Coccinellidae",1,1,1,3,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"Coccinellidae_Coccinellidae_sp5","Coccinellidae",1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Coccinellidae_Coccinellidae_sp6","Coccinellidae",1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Coccinellidae_Cheilomenes_lunata","Coccinellidae",1,1,1,6,16,0,2,0,0,0,2,0,2,8,1,0,0,1,0
"Coccinellidae_Exochomus_bifasciata","Coccinellidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tenebrionidae_Allecullinae_sp1","Tenebrionidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tenebrionidae_Allecullinae_sp2","Tenebrionidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tenebrionidae_Alleculinae_sp3","Tenebrionidae",1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Tenebrionidae_Alleculinae_sp4","Tenebrionidae",1,1,1,2,4,0,0,0,0,2,0,0,2,0,0,0,0,0,0
"Tenebrionidae_Alleculinae_sp5","Tenebrionidae",1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Tenebrionidae_Tenebrioninae_Amarygmini_Hoplonyx_sp1","Tenebrionidae",1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Tenebrionidae_Lagrinae_Lagria_sp1","Tenebrionidae",1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Tenebrionidae_Lagrinae_Lagria_vulnerata","Tenebrionidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tenebrionidae_Tenebrioninae_Strongylini_Strongylium_sp1","Tenebrionidae",1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Tenebrionidae_Paramarysmus_sp1","Tenebrionidae",1,1,0,3,7,0,0,1,2,0,4,0,0,0,0,0,0,0,0
"Tenebrionidae_Tenebrionidae_sp1","Tenebrionidae",1,1,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Lycidae_Cautires_natalensis","Lycidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Lycidae_Flagrax_sp1","Lycidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cantharidae_Cantharis_circundata","Cantharidae",1,1,1,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Cantharidae_Cantharis_caffra","Cantharidae",1,0,1,2,7,0,0,0,0,0,0,0,1,6,0,0,0,0,0
"Biphyllidae_Philodermopsis_hirtum","Biphyllidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Endomychidae_Endomychidae_sp1","Endomychidae",1,1,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Mycetophagidae_Mycetophagidae_sp1","Mycetophagidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cryptophagidae_Micrambe_sp1","Cryptophagidae",1,1,1,6,19,0,2,0,0,3,0,0,1,8,0,0,4,0,1
"Meloidae_Mylabris_alterna","Meloidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Scraptidae_Scraptidae_sp1","Scraptidae",1,1,1,9,29,1,0,1,0,0,0,0,3,2,3,1,2,9,7
"Scirtidae_Scirtidae_sp1","Scirtidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scirtidae_Scirtidae_sp2","Scirtidae",1,1,1,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Ptinidae_Ptininae_sp1","Ptinidae",1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ptinidae_Ptinidae_sp2","Ptinidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ciidae_Ciidae_sp1","Ciidae",1,1,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Anthribidae_Choraginae_Cisanthribini_or_Valentriesiini","Anthribidae",1,1,0,2,76,0,0,75,0,0,1,0,0,0,0,0,0,0,0
"Curculionidae_Scolytinae_sp1","Curculionidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Curculionidae_Scolytinae_Scolytinae_sp2","Curculionidae",1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Curculionidae_Scolytinae_sp3","Curculionidae",1,1,1,3,4,0,0,2,0,0,0,0,0,0,0,0,1,0,1
"Curculionidae_Scolytinae_sp4","Curculionidae",1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Curculionidae_Scolytinae_sp5","Curculionidae",1,1,1,2,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0
"Curculionidae_Scolytinae_sp6","Curculionidae",1,1,1,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Curculionidae_Scolytinae_sp7","Curculionidae",1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Melyridae_Melyridae_sp1","Melyridae",1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Endomychidae_Endomychidae_sp1.1","Endomychidae",1,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Endomychidae_Endomychidae_sp2","Endomychidae",1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Birrhidae_Birrhidae_sp1","Birrhidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Birrhidae_Birrhidae_sp2","Birrhidae",1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Formicidae_Formicinae_Camponotus_sp1","Formicidae",1,1,1,6,39,3,0,0,0,2,0,0,2,0,27,0,2,3,0
"Formicidae_Formicinae_Camponotus_sp2","Formicidae",1,0,1,4,194,0,0,0,0,0,0,0,0,1,2,135,0,56,0
"Formicidae_Formicinae_Camponotus_sp3","Formicidae",1,1,1,2,5,0,0,1,0,0,0,0,0,0,0,0,4,0,0
"Formicidae_Formicinae_Camponotus_sp5","Formicidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Formicidae_Formicinae_Plagiolepis_sp1","Formicidae",1,1,1,4,15,0,0,6,0,0,3,0,0,0,1,0,5,0,0
"Formicidae_Formicinae_Plagiolepis_sp2","Formicidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Formicidae_Formicinae_Polyrhachis_sp1","Formicidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Formicidae_Formicinae_Lepisiota_sp1","Formicidae",1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Formicidae_Formicinae_Paratrechina_sp1","Formicidae",1,1,1,9,181,39,0,0,0,32,2,12,0,60,0,2,1,31,2
"Formicidae_Dolichoderinae_Technomyrmex_sp1","Formicidae",1,1,1,2,32,0,0,0,0,24,0,0,0,0,0,0,0,8,0
"Formicidae_Dolichoderinae_Tapinoma_sp1","Formicidae",1,1,1,5,17,0,0,5,1,2,7,0,0,0,0,0,2,0,0
"Formicidae_Pseudomyrmecinae_Tetraponera_sp1","Formicidae",1,1,0,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Formicidae_Pseudomyrmecinae_Tetraponera_sp2","Formicidae",1,1,1,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Formicidae_Myrmicinae_Tetramorium_sp1","Formicidae",1,1,0,2,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0
"Formicidae_Myrmicinae_Tetramorium_sp2","Formicidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Formicidae_Myrmicinae_Cataulacus_sp1","Formicidae",1,1,1,2,5,0,0,3,0,0,0,0,0,0,2,0,0,0,0
"Formicidae_Myrmicinae_Myrmicaria_sp1","Formicidae",1,1,0,2,9,8,0,1,0,0,0,0,0,0,0,0,0,0,0
"Formicidae_Myrmicinae_Crematogaster_sp1","Formicidae",1,1,1,2,100,0,0,99,0,0,0,0,0,0,0,0,1,0,0
"Formicidae_Myrmicinae_Crematogaster_sp2","Formicidae",1,1,1,6,204,0,0,0,0,8,0,0,0,4,6,55,130,1,0
"Formicidae_Myrmicinae_Crematogaster_sp3","Formicidae",1,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"Formicidae_Myrmicinae_Pheidole_sp1","Formicidae",1,1,1,11,7419,1671,509,3,1879,803,591,1437,447,61,17,0,0,1,0
"Formicidae_Myrmicinae_Pheidole_sp2","Formicidae",1,0,1,1,19,0,0,0,0,0,0,0,0,0,0,0,19,0,0
"Alydidae_Alydidae_sp1","Alydidae",1,1,1,7,20,0,8,0,1,1,0,2,2,2,0,0,4,0,0
"Alydidae_Alydidae_sp2","Alydidae",1,1,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Alydidae_Nariscuscinctiventris","Alydidae",1,1,1,2,6,0,0,0,0,0,0,5,0,0,0,1,0,0,0
"Anthocoridae_Anthocoridae_sp1","Anthocoridae",1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Anthocoridae_Anthocoridae_sp2","Anthocoridae",1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Anthocoridae_Anthocoridae_sp3","Anthocoridae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Anthocoridae_Oriuslaevigatus","Anthocoridae",1,1,1,10,65,0,0,9,1,0,0,2,4,8,21,10,2,5,3
"Aphrophoridae_Aphrophoridae_sp1","Aphrophoridae",1,1,1,4,22,0,0,0,0,10,7,0,0,0,0,3,2,0,0
"Aradidae_Aradidae_sp1","Aradidae",1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Cixiidae_Cixiidae_sp1","Cixiidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Cercopidae_Cordia_sp","Cercopidae",1,1,1,5,9,0,0,3,0,0,1,0,0,0,2,0,1,2,0
"Cercopidae_Cercopidae_sp1","Cercopidae",1,0,1,3,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"Cercopidae_Cercopidae_sp2","Cercopidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cicadellidae_Penthimia_sp1","Cicadellidae",1,1,1,14,182,13,17,5,23,15,14,2,3,2,1,52,28,4,3
"Cicadellidae_Penthimia_sp2","Cicadellidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Cicadellidae_Idiocerus_sp1","Cicadellidae",1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Cicadellidae_Thaumatopoides_sp1","Cicadellidae",1,1,1,14,336,16,32,6,45,29,18,15,11,33,3,40,55,15,18
"Cicadellidae_Penthimiolasella","Cicadellidae",1,1,1,10,68,1,0,4,1,0,0,2,5,20,0,8,6,20,1
"Cicadellidae_Typhlocybinae_Gullifera_sp1","Cicadellidae",1,1,1,14,374,62,7,23,8,94,84,21,17,4,42,7,1,1,3
"Cicadellidae_Typhlocybinae_Gullifera_sp","Cicadellidae",1,1,1,5,13,0,0,8,0,1,0,0,0,0,1,1,2,0,0
"Cicadellidae_Typhlocybinae_sp1","Cicadellidae",1,1,1,14,641,69,61,31,11,68,156,20,108,23,26,45,10,9,4
"Cicadellidae_Typhlocybinae_sp2","Cicadellidae",1,1,1,10,160,0,13,100,1,1,2,1,0,1,37,3,0,1,0
"Cicadellidae_Typhlocybinae_sp4","Cicadellidae",1,1,1,12,212,47,6,8,14,89,27,4,6,1,6,0,1,3,0
"Cicadellidae_Typhlocybinae_sp5","Cicadellidae",1,1,0,2,10,0,0,0,0,7,3,0,0,0,0,0,0,0,0
"Cicadellidae_Typhlocybinae_sp6","Cicadellidae",1,0,1,1,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0
"Cicadellidae_Typhlocybinae_sp7","Cicadellidae",1,0,1,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Cicadellidae_Typhlocybinae_sp8","Cicadellidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cicadellidae_Typhlocybinae_sp9","Cicadellidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cicadellidae_Typhlocybinae_sp10","Cicadellidae",1,0,1,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Cicadellidae_Selenocephalus_sp1","Cicadellidae",1,1,1,8,121,31,6,4,7,5,11,10,0,0,0,0,0,47,0
"Cicadellidae_Selenocephalus_sp2","Cicadellidae",1,1,1,7,11,0,1,0,0,0,1,1,3,1,3,0,0,0,1
"Cicadellidae_Balclutha_sp1","Cicadellidae",1,1,1,3,4,0,0,1,0,0,0,2,1,0,0,0,0,0,0
"Cicadellidae_Ianeira_sp1","Cicadellidae",1,1,1,3,4,0,0,1,2,0,0,0,1,0,0,0,0,0,0
"Cicadellidae_Epignoma_sp1","Cicadellidae",1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Cicadellidae_Capoideus_sp1","Cicadellidae",1,1,1,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"Cicadellidae_Macropsis_sp1","Cicadellidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cicadellidae_Batracomorphus_sp1","Cicadellidae",1,1,1,14,878,84,139,14,119,115,50,43,49,52,4,108,51,13,37
"Cicadellidae_Batracomorphus_sp2","Cicadellidae",1,1,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Cicadellidae_Molopoterus_sp1","Cicadellidae",1,1,1,2,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0
"Cicadellidae_Cicadulina_sp1","Cicadellidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Cicadellidae_Drabescus_sp1","Cicadellidae",1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Cicadellidae_Hododoechus_sp1","Cicadellidae",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cicadellidae_Coloborrhis_sp1","Cicadellidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tettigometridae_Hildapatruelis","Tettigometridae",1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Coreidae_Coreidae_sp1","Coreidae",1,1,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"Coreidae_Coreidae_sp2","Coreidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Delphacidae_Delphacidae_sp1","Delphacidae",1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Delphacidae_Delphacidae_sp2","Delphacidae",1,1,0,4,4,0,0,1,0,1,1,1,0,0,0,0,0,0,0
"Delphacidae_Delphacidae_sp3","Delphacidae",1,1,0,4,4,1,0,0,1,1,1,0,0,0,0,0,0,0,0
"Derbidae_Derbidae_sp1","Derbidae",1,1,0,3,7,0,0,1,0,0,1,5,0,0,0,0,0,0,0
"Dictyopharidae_Narecho_sp1","Dictyopharidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flatidae_Flatidae_sp1","Flatidae",1,1,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Lygaeidae_Lygaeidae_sp1","Lygaeidae",1,1,0,2,5,0,1,4,0,0,0,0,0,0,0,0,0,0,0
"Lygaeidae_Lygaeidae_sp2","Lygaeidae",1,1,1,5,9,3,0,0,0,3,1,1,0,0,0,1,0,0,0
"Lygaeidae_Lygaeidae_sp3","Lygaeidae",1,1,1,5,13,0,0,2,0,3,0,4,0,0,0,0,2,2,0
"Lygaeidae_Lygaeidae_sp4","Lygaeidae",1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Lygaeidae_Lygaeidae_sp5","Lygaeidae",1,1,1,7,20,7,0,0,2,1,1,0,7,1,0,0,0,0,1
"Lygaeidae_Lygaeidae_sp6","Lygaeidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Membracidae_Membracidae_sp","Membracidae",1,1,1,14,321,8,17,1,42,125,20,30,21,14,5,12,10,14,2
"Miridae_Lygidolonlaevigatum","Miridae",1,1,1,11,124,58,16,1,2,15,2,6,13,5,0,3,0,3,0
"Miridae_Deraeocoris_sp","Miridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miridae_Miridae_sp1","Miridae",1,0,1,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Miridae_Miridae_sp2","Miridae",1,1,0,2,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0
"Miridae_Miridae_sp3","Miridae",1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Miridae_Miridae_sp4","Miridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miridae_Miridae_sp5","Miridae",1,1,1,3,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0
"Miridae_Miridae_sp6","Miridae",1,1,1,12,141,57,6,0,1,23,14,2,21,2,2,5,6,2,0
"Miridae__sp7","Miridae",1,1,1,10,23,7,3,0,0,5,1,1,0,0,1,1,1,2,1
"Miridae_Miridae_sp8","Miridae",1,1,1,13,87,42,2,3,1,14,3,1,4,3,4,2,4,0,4
"Miridae_Miridae_sp9","Miridae",1,0,1,5,27,0,0,0,0,0,0,0,6,7,0,7,4,3,0
"Miridae_Miridae_sp10","Miridae",1,0,1,5,5,0,0,0,0,0,0,0,1,0,0,1,1,1,1
"Miridae_Miridae_sp12","Miridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miridae_Miridae_sp13","Miridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miridae_Miridae_sp14","Miridae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Miridae_Miridae_sp15","Miridae",1,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Miridae_Miridae_sp16","Miridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miridae_Miridae_sp17","Miridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miridae_Miridae_sp18","Miridae",1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Miridae_Miridae_sp19","Miridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miridae_Miridae_sp20","Miridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Piesmatidae_Piesmatidae_sp1","Piesmatidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Psillidae_Psillidae_sp1","Psillidae",1,1,1,11,65,0,0,2,0,1,1,1,19,4,3,1,4,7,22
"Psillidae_Psillidae_sp2","Psillidae",1,1,1,12,225,9,0,71,1,1,2,3,1,4,110,11,2,10,0
"Psillidae_Psillidae_sp3","Psillidae",1,1,1,8,47,0,0,0,1,0,1,1,5,0,26,6,6,1,0
"Psillidae_Psillidae_sp4","Psillidae",1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Psillidae_Psillidae_sp5","Psillidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Pentatomidae_Nezaraviridula","Pentatomidae",1,1,1,3,5,2,0,0,0,2,0,0,0,1,0,0,0,0,0
"Pentatomidae_Solenostethiumliligerum","Pentatomidae",1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Pentatomidae_Agonoscelisversicoloratus","Pentatomidae",1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Pentatomidae_Pentatomidae_sp1","Pentatomidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pentatomidae_Pentatomidae_sp2","Pentatomidae",1,1,1,4,6,0,0,0,0,2,0,1,0,2,0,0,1,0,0
"Pentatomidae_Pentatomidae_sp3","Pentatomidae",1,1,0,2,10,1,0,0,9,0,0,0,0,0,0,0,0,0,0
"Pentatomidae_Pentatomidae_sp4","Pentatomidae",1,1,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Pentatomidae_Pentatomidae_sp5","Pentatomidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Pentatomidae_Pentatomidae_sp6","Pentatomidae",1,1,1,3,4,0,1,0,0,0,0,0,0,2,0,0,1,0,0
"Pentatomidae_Pentatomidae_sp7","Pentatomidae",1,0,1,3,5,0,0,0,0,0,0,0,3,0,0,1,1,0,0
