"","Curculionidae","Attelabidae","Anthribidae","Chrysomelidae","Buprestidae","Cerambycidae","Cleridae","Bostrichidae","Elateridae","Scarabaeidae","Melyridae","Nitidulidae","Salpingidae","Lathridiidae","Silvanidae","Mordellidae","Carabidae","Zopheridae","Anthicidae","Scydmaenidae","Corylophidae","Laemophloeidae","Phalacridae","Ptiliidae","Coccinellidae","Tenebrionidae","Lycidae","Cantharidae","Biphyllidae","Endomychidae","Mycetophagidae","Cryptophagidae","Meloidae","Scraptidae","Scirtidae","Ptinidae","Ciidae","Birrhidae","Formicidae","Alydidae","Anthocoridae","Aphrophoridae","Aradidae","Cixiidae","Cercopidae","Cicadellidae","Tettigometridae","Coreidae","Delphacidae","Derbidae","Dictyopharidae","Flatidae","Lygaeidae","Membracidae","Miridae","Piesmatidae","Psillidae","Pentatomidae","Reduviidae","Tingidae"
"KZN2",8,0,3,17,2,2,0,0,0,0,2,4,1,1,0,2,2,1,0,1,2,1,2,1,6,2,1,0,0,0,0,1,0,1,0,2,1,0,9,0,1,0,0,0,0,8,0,0,0,0,0,0,3,0,10,0,3,1,0,2
"KZN3",3,0,0,6,0,3,0,0,0,0,0,0,2,0,0,1,3,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,5,0,1,0,0,2
"MP3",4,0,0,7,2,2,0,0,0,0,1,2,0,1,0,0,1,0,0,0,4,0,1,0,2,2,0,0,1,0,0,0,0,1,0,0,1,0,5,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0
"MP4",12,1,1,24,4,3,1,0,0,2,3,2,0,1,0,2,1,1,1,0,3,1,2,0,7,4,1,2,0,0,1,0,0,1,2,1,0,0,13,1,1,0,0,0,2,15,0,0,1,0,1,0,1,1,8,0,3,3,0,3
